ZIP,MYear,Fuel,Make,Duty,Vehicles
90001,<2005,Compressed Natural Gas,OTHER/UNK,Heavy,1
90001,<2005,Compressed Natural Gas,OTHER/UNK,Light,1
90001,<2005,Diesel and Diesel Hybrid ,CHEVROLET,Heavy,17
90001,<2005,Diesel and Diesel Hybrid ,FORD,Heavy,36
90001,<2005,Diesel and Diesel Hybrid ,FORD,Light,37
90001,<2005,Diesel and Diesel Hybrid ,FREIGHTLINER,Heavy,41
90001,<2005,Diesel and Diesel Hybrid ,GMC,Heavy,19
90001,<2005,Diesel and Diesel Hybrid ,INTERNATIONAL,Heavy,46
90001,<2005,Diesel and Diesel Hybrid ,ISUZU,Heavy,21
90001,<2005,Diesel and Diesel Hybrid ,MERCEDES-BENZ,Light,11
90001,<2005,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,54
90001,<2005,Diesel and Diesel Hybrid ,OTHER/UNK,Light,32
90001,<2005,Diesel and Diesel Hybrid ,PETERBILT,Heavy,15
90001,<2005,FXE,CHEVROLET,Light,76
90001,<2005,FXE,CHRYSLER,Light,17
90001,<2005,FXE,DODGE,Light,101
90001,<2005,FXE,FORD,Light,169
90001,<2005,FXE,GMC,Light,21
90001,<2005,FXE,OTHER/UNK,Light,14
90001,<2005,FXM,OTHER/UNK,Light,12
90001,<2005,Gasoline ,ACURA,Light,232
90001,<2005,Gasoline ,AUDI,Light,32
90001,<2005,Gasoline ,BMW,Light,202
90001,<2005,Gasoline ,BUICK,Light,106
90001,<2005,Gasoline ,CADILLAC,Light,178
90001,<2005,Gasoline ,CHEVROLET,Heavy,47
90001,<2005,Gasoline ,CHEVROLET,Light,2494
90001,<2005,Gasoline ,CHRYSLER,Light,147
90001,<2005,Gasoline ,DODGE,Light,560
90001,<2005,Gasoline ,FORD,Heavy,59
90001,<2005,Gasoline ,FORD,Light,2389
90001,<2005,Gasoline ,GEO,Light,15
90001,<2005,Gasoline ,GMC,Heavy,32
90001,<2005,Gasoline ,GMC,Light,671
90001,<2005,Gasoline ,HONDA,Light,2018
90001,<2005,Gasoline ,HUMMER,Light,13
90001,<2005,Gasoline ,HYUNDAI,Light,83
90001,<2005,Gasoline ,INFINITI,Light,172
90001,<2005,Gasoline ,ISUZU,Heavy,16
90001,<2005,Gasoline ,ISUZU,Light,55
90001,<2005,Gasoline ,JAGUAR,Light,27
90001,<2005,Gasoline ,JEEP,Light,309
90001,<2005,Gasoline ,KIA,Light,89
90001,<2005,Gasoline ,LAND ROVER,Light,16
90001,<2005,Gasoline ,LEXUS,Light,212
90001,<2005,Gasoline ,LINCOLN,Light,149
90001,<2005,Gasoline ,MAZDA,Light,143
90001,<2005,Gasoline ,MERCEDES-BENZ,Light,138
90001,<2005,Gasoline ,MERCURY,Light,108
90001,<2005,Gasoline ,MINI,Light,11
90001,<2005,Gasoline ,MITSUBISHI,Light,202
90001,<2005,Gasoline ,NISSAN,Light,1363
90001,<2005,Gasoline ,OLDSMOBILE,Light,67
90001,<2005,Gasoline ,OTHER/UNK,Heavy,37
90001,<2005,Gasoline ,OTHER/UNK,Light,134
90001,<2005,Gasoline ,PLYMOUTH,Light,45
